adult;id;original_title;popularity;video
false;3924;Blondie;3.278;false
false;6124;Der Mann ohne Namen;1.091;false
false;8773;L'amour à vingt ans;2.63;false
false;25449;New World Disorder 9: Never Enough;1.331;false
false;31975;Sesame Street: Elmo Loves You!;0.843;true
false;2;Ariel;10.291;false
false;3;Varjoja paratiisissa;9.193;false
false;5;Four Rooms;13.587;false
false;6;Judgment Night;10.678;false
false;8;Life in Loops (A Megacities RMX);2.477;false
false;9;Sonntag im August;1.858;false
false;11;Star Wars;62.349;false
false;12;Finding Nemo;85.325;false
false;13;Forrest Gump;48.987;false
false;14;American Beauty;32.952;false
false;15;Citizen Kane;22.35;false
false;16;Dancer in the Dark;13.27;false
false;17;The Dark;7.828;false
false;18;The Fifth Element;29.497;false
false;19;Metropolis;14.226;false
false;20;My Life Without Me;11.044;false
false;21;The Endless Summer;4.71;false
false;22;Pirates of the Caribbean: The Curse of the Black Pearl;84.602;false
false;24;Kill Bill: Vol. 1;36.881;false
false;25;Jarhead;19.411;false
false;26;LaLehet Al HaMayim;5.235;false
false;27;9 Songs;19.947;false
false;28;Apocalypse Now;25.489;false
false;33;Unforgiven;22.884;false
false;35;The Simpsons Movie;104.582;false
false;38;Eternal Sunshine of the Spotless Mind;38.088;false
false;55;Amores perros;19.573;false
false;58;Pirates of the Caribbean: Dead Man's Chest;88.146;false
false;59;A History of Violence;18.974;false
false;62;2001: A Space Odyssey;29.066;false
false;63;Twelve Monkeys;27.583;false
false;64;Hable con ella;13.303;false
false;65;8 Mile;31.53;false
false;66;Absolute Power;11.774;false
false;67;Paradise Now;7.058;false
false;68;Brazil;13.647;false
false;69;Walk the Line;12.532;false
false;70;Million Dollar Baby;18.936;false
false;71;Billy Elliot;11.896;false
false;73;American History X;30.972;false
false;74;War of the Worlds;28.095;false
false;75;Mars Attacks!;16.617;false
false;76;Before Sunrise;17.543;false
false;77;Memento;20.43;false
false;78;Blade Runner;32.125;false
false;79;英雄;17.293;false
false;80;Before Sunset;11.542;false
false;81;風の谷のナウシカ;24.375;false
false;82;Miami Vice;15.126;false
false;83;Open Water;16.408;false
false;85;Raiders of the Lost Ark;27.639;false
false;86;Elementarteilchen;10.572;false
