id;userid;movieid;rating
1;1642;13475;4
2;1642;389;5
3;1642;235;5
4;1642;205;3
5;1642;845;5
6;1642;20453;2
7;1642;453;5
8;1642;599;5
9;1642;280;5
10;1642;348;5
11;1642;11324;2
12;1642;705;3
13;1642;872;4
14;1642;583;4
15;1642;3078;3
16;1642;12405;3
17;1642;769;5
18;1642;993;5
19;1642;583;1
20;1642;107;5
21;1642;1955;1
22;1642;212;5
23;1642;11778;5
24;1642;9552;5
25;1642;665;3
26;1642;962;3
27;1642;284;3
28;1642;524;1
29;1642;289;5
30;1642;910;5
31;1642;598;1
32;1642;8587;3
33;1642;15;2
34;1642;901;5
35;1642;603;5
36;1642;7508;5
37;1642;68718;5
38;1642;914;2
39;1642;38;1
40;1642;596;5
41;1642;309;5
42;1642;10098;2
43;1642;550;4
44;1642;5961;5
45;1642;275;3
46;1642;497;4
47;1642;600;3
48;1642;1092;5
49;1642;769;1
50;1642;117;5
51;1642;770;3
52;1642;3090;5
53;1642;37165;4
54;1642;11787;5
55;1642;2493;4
56;1642;423;5
57;1642;13223;5
58;1642;205;5
59;1642;7984;2
60;1642;1480;2
61;1642;8392;5
62;1642;77338;4
63;1642;630;4
64;1642;3078;5
65;1642;576;5
66;1642;24238;3
67;1642;832;4
68;1642;947;4
69;1642;2118;2
70;1642;87827;3
71;1642;583;3
72;1642;762;5
73;1642;322;1
74;1642;70;2
75;1642;311;3
76;1642;510;4
77;1642;654;5
78;1642;213;1
79;1642;22;3
80;1642;391;3
81;1642;797;5
82;1642;975;1
83;1642;641;1
84;1642;11645;5
85;1642;1578;1
86;1642;424;5
87;1642;857;5
88;1642;1580;3
89;1642;804;4
90;1642;500;2
91;1102;453;0
92;1102;218;3
93;1102;280;1
94;1102;702;1
95;1102;103;4
96;1102;280;5
97;1102;807;2
98;1102;279;1
99;1102;1092;4
100;1102;583;4
101;1102;12405;3
102;1102;769;3
103;1102;1955;2
104;1102;10020;5
105;1102;9552;4
106;1102;272;2
107;1102;962;3
108;1102;578;1
109;1102;947;4
110;1102;289;2
111;1102;2503;4
112;1102;829;2
113;1102;45269;3
114;1102;15;3
115;1102;247;2
116;1102;901;2
117;1102;603;2
118;1102;968;5
119;1102;7508;3
120;1102;17654;4
121;1102;11697;3
122;1102;68718;2
123;1102;963;2
124;1102;1417;5
125;1102;5925;2
126;1102;914;4
127;1102;996;4
128;1102;37247;4
129;1102;783;2
130;1102;1091;1
131;1102;1092;3
132;1102;9277;3
133;1102;13;2
134;1102;218;1
135;1102;12;4
136;1102;629;2
137;1102;489;1
138;1102;770;2
139;1102;213;4
140;1102;37165;2
141;1102;1124;2
142;1102;423;3
143;1102;274;2
144;1102;429;4
145;1102;27205;2
146;1102;578;4
147;1102;627;2
148;1102;576;1
149;1102;595;2
150;1102;1585;5
151;1102;24238;5
152;1102;19;2
153;1102;2118;4
154;1102;11216;1
155;1102;762;1
156;1102;322;3
157;1102;3082;3
158;1102;70;2
159;1102;585;3
160;1102;807;1
161;1102;510;1
162;1102;11216;3
163;1102;213;2
164;1102;303;3
165;1102;10774;3
166;1102;6977;1
167;1102;539;2
168;1102;680;2
169;1102;22;1
170;1102;792;3
171;1102;391;3
172;1102;975;3
173;1102;223;1
174;1102;85;2
175;1102;424;2
176;1102;111;3
177;1102;857;2
178;1102;805;2
179;1102;1366;3
180;1102;500;2
181;549;13475;4
182;549;235;3
183;549;453;0
184;549;218;1
185;549;280;2
186;549;11324;0
187;549;705;1
188;549;279;0
189;549;1092;1
190;549;583;0
191;549;3078;0
192;549;12405;0
193;549;583;3
194;549;703;0
195;549;107;0
196;549;212;0
197;549;3175;0
198;549;1422;3
199;549;1955;1
200;549;975;4
201;549;10020;1
202;549;665;0
203;549;578;0
204;549;284;4
205;549;947;0
206;549;24428;2
207;549;1480;1
208;549;524;0
209;549;289;1
210;549;598;3
211;549;2503;1
212;549;826;0
213;549;121;4
214;549;8587;0
215;549;562;5
216;549;247;2
217;549;603;5
218;549;982;1
219;549;963;0
220;549;1417;4
221;549;38;0
222;549;996;0
223;549;10098;0
224;549;49051;0
225;549;600;2
226;549;13;1
227;549;9277;0
228;549;12;0
229;549;769;1
230;549;117;3
231;549;489;0
232;549;629;0
233;549;770;0
234;549;37165;5
235;549;1124;4
236;549;13475;0
237;549;274;1
238;549;10191;1
239;549;205;2
240;549;949;0
241;549;694;0
242;549;3082;5
243;549;10775;0
244;549;7984;4
245;549;329;0
246;549;862;0
247;549;24;0
248;549;3078;1
249;549;1585;5
250;549;7345;0
251;549;24238;1
252;549;947;0
253;549;87827;4
254;549;583;5
255;549;762;0
256;549;322;0
257;549;3082;0
258;549;585;1
259;549;311;0
260;549;510;0
261;549;654;1
262;549;213;1
263;549;303;5
264;549;680;0
265;549;22;0
266;549;792;3
267;549;5924;3
268;549;641;0
269;549;1580;1
270;549;500;5
271;1641;389;3
272;1641;205;3
273;1641;453;3
274;1641;280;5
275;1641;103;4
276;1641;348;3
277;1641;11324;3
278;1641;872;5
279;1641;1092;4
280;1641;3078;3
281;1641;769;3
282;1641;239;3
283;1641;107;4
284;1641;212;3
285;1641;289;3
286;1641;3175;3
287;1641;975;3
288;1641;961;5
289;1641;238;4
290;1641;578;3
291;1641;44214;5
292;1641;642;4
293;1641;24428;4
294;1641;887;3
295;1641;524;2
296;1641;115;2
297;1641;910;1
298;1641;598;0
299;1641;2503;0
300;1641;826;1
301;1641;829;1
302;1641;121;3
303;1641;562;4
304;1641;8587;4
305;1641;15;1
306;1641;45269;5
307;1641;968;5
308;1641;11697;1
309;1641;963;2
310;1641;1417;1
311;1641;596;1
312;1641;37247;2
313;1641;497;2
314;1641;1092;1
315;1641;600;5
316;1641;117;4
317;1641;489;1
318;1641;629;5
319;1641;3090;2
320;1641;1124;4
321;1641;2493;5
322;1641;12445;3
323;1641;13475;2
324;1641;423;3
325;1641;274;4
326;1641;745;3
327;1641;694;5
328;1641;949;5
329;1641;3082;1
330;1641;5915;4
331;1641;7984;2
332;1641;46738;1
333;1641;578;3
334;1641;329;2
335;1641;947;1
336;1641;627;1
337;1641;630;5
338;1641;77338;5
339;1641;1585;5
340;1641;19;4
341;1641;947;2
342;1641;2118;1
343;1641;11216;4
344;1641;583;2
345;1641;585;0
346;1641;807;1
347;1641;311;1
348;1641;510;0
349;1641;654;2
350;1641;213;5
351;1641;10774;5
352;1641;223;3
353;1641;567;2
354;1641;2062;1
355;1641;11645;0
356;1641;424;1
357;1641;111;0
358;1641;857;1
359;1641;1580;3
360;1641;804;4
361;546;235;5
362;546;205;5
363;546;20453;3
364;546;1892;1
365;546;7508;2
366;546;599;5
367;546;348;1
368;546;11324;5
369;546;705;2
370;546;807;5
371;546;280;3
372;546;872;4
373;546;12405;5
374;546;3078;1
375;546;769;4
376;546;583;3
377;546;11778;5
378;546;1422;2
379;546;3175;3
380;546;9552;5
381;546;10020;2
382;546;272;5
383;546;665;5
384;546;238;3
385;546;947;5
386;546;284;3
387;546;74643;5
388;546;24428;3
389;546;642;5
390;546;887;3
391;546;115;1
392;546;289;1
393;546;598;1
394;546;826;3
395;546;829;2
396;546;247;3
397;546;982;5
398;546;7508;5
399;546;963;5
400;546;5925;5
401;546;1417;3
402;546;38;5
403;546;935;5
404;546;37247;4
405;546;309;5
406;546;990;5
407;546;550;1
408;546;49051;5
409;546;9277;4
410;546;117;2
411;546;769;3
412;546;3090;5
413;546;37165;3
414;546;213;1
415;546;1124;5
416;546;13223;3
417;546;274;3
418;546;745;5
419;546;288;5
420;546;3082;2
421;546;16869;5
422;546;7984;5
423;546;110;5
424;546;46738;1
425;546;1480;4
426;546;578;5
427;546;627;5
428;546;24;4
429;546;862;5
430;546;77338;5
431;546;3078;5
432;546;595;3
433;546;7345;5
434;546;103663;2
435;546;24238;2
436;546;832;5
437;546;2118;2
438;546;87827;4
439;546;3083;1
440;546;70;5
441;546;311;4
442;546;654;4
443;546;303;3
444;546;6977;5
445;546;792;5
446;546;975;3
447;546;641;4
448;546;567;3
449;546;424;5
450;546;805;5
451;1096;235;5
452;1096;7508;5
453;1096;453;1
454;1096;218;0
455;1096;702;4
456;1096;348;3
457;1096;103;5
458;1096;11324;5
459;1096;872;5
460;1096;993;5
461;1096;703;4
462;1096;107;5
463;1096;11778;5
464;1096;289;1
465;1096;975;1
466;1096;9552;5
467;1096;10020;2
468;1096;961;5
469;1096;238;5
470;1096;962;5
471;1096;74643;5
472;1096;642;1
473;1096;887;5
474;1096;524;1
475;1096;910;5
476;1096;598;2
477;1096;829;4
478;1096;121;5
479;1096;903;2
480;1096;8587;5
481;1096;247;5
482;1096;901;3
483;1096;17654;3
484;1096;11697;5
485;1096;68718;2
486;1096;963;5
487;1096;309;4
488;1096;990;5
489;1096;5961;4
490;1096;49051;5
491;1096;275;2
492;1096;783;5
493;1096;1091;5
494;1096;600;5
495;1096;9277;5
496;1096;117;5
497;1096;489;5
498;1096;213;5
499;1096;11787;5
500;1096;12445;5
501;1096;3112;5
502;1096;274;5
503;1096;205;5
504;1096;278;5
505;1096;3082;5
506;1096;10775;5
507;1096;5915;5
508;1096;429;5
509;1096;110;5
510;1096;7984;5
511;1096;27205;5
512;1096;1480;5
513;1096;578;5
514;1096;329;5
515;1096;627;5
516;1096;24;5
517;1096;862;5
518;1096;77338;5
519;1096;103663;5
520;1096;24238;5
521;1096;832;5
522;1096;77;5
523;1096;947;5
